order_id,user_id,order_timestamp,total_amount,item_count,shipping_fee,discount,status
48,5395,2023-12-03 22:53:11.818045,348.21,1,9.99,0.0,completed
49,10111,2023-12-04 14:07:30.705250,586.02,2,4.99,0.0,shipped
50,19785,2023-12-06 02:00:51.762991,258.44,2,0.0,25.84,completed
51,913,2023-12-08 00:37:44.439033,880.81,4,9.99,0.0,completed
52,21938,2023-12-09 16:14:34.181310,1004.93,4,4.99,100.49,cancelled
53,23042,2023-12-09 23:27:27.414380,718.26,4,9.99,71.83,completed
54,10098,2023-12-10 23:41:56.332359,346.95,3,4.99,0.0,completed
55,22170,2023-12-11 02:56:12.055161,740.77,3,4.99,111.12,completed
56,1951,2023-12-12 08:58:25.163260,873.99,5,4.99,0.0,completed
57,13916,2023-12-14 06:46:24.586732,322.09,1,9.99,0.0,completed
58,11405,2023-12-14 11:53:51.817235,179.7,3,0.0,0.0,completed
59,24676,2023-12-14 20:41:59.781534,163.44,1,9.99,0.0,completed
60,13011,2023-12-19 21:27:28.105321,187.68,2,4.99,28.15,completed
61,24318,2023-12-21 00:10:42.447561,552.81,2,0.0,82.92,completed
62,17691,2023-12-21 03:50:16.704295,574.29,3,9.99,0.0,completed
63,21882,2023-12-21 21:25:41.298219,642.05,3,9.99,0.0,completed
64,19674,2023-12-23 03:04:19.549077,425.28,4,0.0,42.53,completed
65,5395,2023-12-24 13:02:05.417053,935.34,5,9.99,140.3,completed
66,13910,2023-12-24 13:50:42.070860,747.82,4,4.99,0.0,completed
67,1703,2023-12-25 01:56:16.985958,311.47,2,4.99,46.72,completed
68,17741,2023-12-25 03:53:54.934373,701.21,4,4.99,70.12,completed
69,15754,2023-12-26 07:45:58.510012,779.03,5,9.99,0.0,returned
70,14169,2023-12-28 21:06:16.553367,669.79,4,4.99,0.0,shipped
71,11350,2023-12-29 11:13:47.958873,1193.99,5,0.0,238.8,completed
72,13127,2023-12-29 13:21:10.407367,257.03,1,9.99,38.55,shipped
73,12276,2023-12-29 15:33:18.563563,247.7,2,0.0,24.77,completed
74,7578,2023-12-29 18:54:25.941743,977.57,5,4.99,146.64,completed
75,16335,2024-01-01 03:40:38.401271,214.37,1,9.99,32.16,shipped
76,5353,2024-01-01 18:07:42.221090,685.82,4,0.0,0.0,completed
77,23296,2024-01-02 12:26:33.860027,559.68,5,0.0,0.0,completed
78,22565,2024-01-03 09:39:10.211875,575.55,2,9.99,57.55,shipped
79,16500,2024-01-03 13:10:06.115300,738.87,5,9.99,147.77,completed
80,2423,2024-01-03 16:21:35.788988,745.73,5,0.0,0.0,completed
81,15849,2024-01-04 04:24:16.334147,954.52,4,9.99,95.45,shipped
82,13972,2024-01-04 10:35:34.138852,222.35,1,9.99,0.0,completed
83,1761,2024-01-06 00:18:41.137275,388.53,2,9.99,58.28,completed
84,15738,2024-01-07 01:47:54.492222,929.0,5,0.0,185.8,completed
85,12802,2024-01-09 04:03:01.053644,871.16,4,0.0,87.12,completed
86,13684,2024-01-10 00:41:38.898802,642.51,4,0.0,128.5,completed
87,21176,2024-01-11 03:42:11.211529,743.92,4,0.0,148.78,completed
88,22386,2024-01-12 10:21:49.028345,862.27,5,9.99,0.0,completed
89,14597,2024-01-18 13:34:30.346543,880.63,4,4.99,0.0,completed
90,1761,2024-01-22 02:23:58.779153,340.65,1,0.0,0.0,completed
91,5289,2024-01-23 15:51:47.105453,477.16,2,0.0,47.72,shipped
92,4887,2024-01-25 12:34:54.653162,364.54,2,9.99,54.68,completed
93,8612,2024-01-26 07:01:32.304402,89.0,2,9.99,0.0,completed
94,5545,2024-01-26 18:56:19.734805,410.23,3,4.99,61.53,completed
95,13472,2024-01-27 15:59:10.109552,967.64,4,4.99,0.0,cancelled
96,2282,2024-01-28 20:08:52.030977,842.13,4,0.0,0.0,shipped
97,8169,2024-01-30 17:33:39.731634,134.15,1,0.0,13.42,completed
98,17954,2024-02-03 04:17:06.768590,908.71,5,9.99,0.0,completed
99,17067,2024-02-03 22:16:20.322931,702.46,5,9.99,0.0,shipped
100,11244,2024-02-04 00:54:28.690517,966.84,5,9.99,0.0,completed
101,13102,2024-02-04 07:28:47.254314,207.66,1,0.0,31.15,completed
102,16572,2024-02-04 21:30:44.485726,330.11,4,9.99,33.01,cancelled
103,1951,2024-02-05 02:37:13.613256,87.15,1,0.0,8.72,completed
104,3514,2024-02-07 22:44:43.273098,191.6,1,0.0,28.74,completed
105,11518,2024-02-08 11:25:05.299948,306.02,1,4.99,0.0,completed
106,7257,2024-02-08 11:46:49.372677,173.43,1,9.99,0.0,completed
107,24145,2024-02-08 20:32:56.503760,1148.28,4,9.99,0.0,completed
108,21130,2024-02-09 11:59:27.611582,386.12,4,0.0,0.0,shipped
109,3673,2024-02-10 07:54:59.071975,951.63,5,0.0,0.0,completed
110,9527,2024-02-13 02:10:32.081804,111.35,1,9.99,16.7,completed
111,8223,2024-02-13 17:33:48.326815,387.55,3,4.99,38.76,completed
112,20317,2024-02-14 03:46:35.916676,522.74,2,4.99,0.0,completed
113,10031,2024-02-15 13:02:10.504186,348.88,2,0.0,0.0,completed
114,21904,2024-02-17 07:14:47.461286,557.08,5,9.99,0.0,cancelled
115,13607,2024-02-17 13:14:23.286616,275.21,1,4.99,27.52,shipped
116,8592,2024-02-18 20:47:47.016657,537.8,4,4.99,0.0,completed
117,16199,2024-02-19 07:25:11.835069,778.07,5,4.99,0.0,completed
118,8664,2024-02-20 17:52:12.591065,235.54,1,4.99,47.11,completed
119,6172,2024-02-21 02:31:16.835709,342.01,2,9.99,0.0,cancelled
120,22085,2024-02-21 15:05:27.459614,692.16,4,4.99,103.82,completed
121,8981,2024-02-21 16:47:44.129961,52.82,1,4.99,10.56,shipped
122,4393,2024-02-21 23:45:07.523911,89.25,1,4.99,13.39,returned
123,23588,2024-02-22 05:23:26.563592,511.35,2,0.0,102.27,completed
124,12419,2024-02-23 06:01:34.687702,109.84,1,0.0,0.0,completed
125,19139,2024-02-23 12:35:19.930159,634.06,2,9.99,0.0,completed
126,7150,2024-02-23 14:26:40.376087,1080.03,5,0.0,108.0,completed
127,19061,2024-02-25 20:25:22.084372,612.36,3,4.99,61.24,shipped
128,14169,2024-02-26 11:53:26.141816,89.34,1,4.99,0.0,completed
129,21286,2024-02-26 19:43:52.272406,205.94,2,0.0,0.0,completed
130,4552,2024-02-26 22:52:18.510465,16.26,1,9.99,3.25,returned
131,16654,2024-02-27 21:58:54.210769,190.55,1,9.99,0.0,completed
132,24357,2024-02-28 06:11:14.894155,459.76,4,9.99,45.98,completed
133,11165,2024-02-28 23:03:29.385880,641.82,4,9.99,0.0,completed
134,8183,2024-02-29 02:15:48.545571,319.31,3,0.0,0.0,completed
135,2133,2024-02-29 08:24:10.649189,542.18,4,9.99,0.0,completed
136,22930,2024-03-01 02:03:50.777227,667.7,3,9.99,100.16,returned
137,2814,2024-03-02 09:33:12.346760,1381.86,5,9.99,276.37,completed
138,22755,2024-03-02 17:30:08.478034,518.61,4,4.99,51.86,shipped
139,7357,2024-03-02 19:29:42.114984,345.09,3,9.99,51.76,shipped
140,19967,2024-03-04 10:44:55.736817,380.36,2,9.99,0.0,completed
141,2871,2024-03-05 21:58:14.063930,310.74,2,4.99,31.07,completed
142,15719,2024-03-06 23:49:53.592386,718.86,5,4.99,71.89,completed
143,15136,2024-03-08 03:39:47.079551,631.89,4,0.0,0.0,completed
144,3060,2024-03-08 23:37:45.255153,933.14,5,4.99,93.31,cancelled
145,7434,2024-03-09 00:33:26.113928,858.77,5,4.99,0.0,shipped
146,10014,2024-03-10 02:41:35.542700,687.13,4,9.99,0.0,shipped
147,6876,2024-03-10 10:28:58.888293,564.7,2,9.99,0.0,returned
148,7065,2024-03-10 20:54:28.575874,423.28,3,9.99,0.0,cancelled
149,5207,2024-03-11 15:22:36.521405,460.35,2,9.99,92.07,shipped
150,4069,2024-03-11 20:18:04.564052,955.35,4,0.0,0.0,shipped
151,3441,2024-03-11 21:10:08.156294,450.03,3,9.99,0.0,completed
152,170,2024-03-12 01:24:17.986366,768.47,4,9.99,0.0,completed
153,13087,2024-03-12 17:57:39.774691,991.46,5,9.99,148.72,shipped
154,12276,2024-03-12 23:23:38.331633,910.45,5,4.99,91.05,completed
155,18741,2024-03-13 19:19:21.673438,60.49,2,0.0,0.0,completed
156,22657,2024-03-14 18:59:58.049645,1088.12,5,9.99,0.0,cancelled
157,2897,2024-03-15 05:34:42.042088,421.86,4,9.99,0.0,completed
158,11969,2024-03-16 19:15:04.507083,427.71,2,0.0,0.0,completed
159,11258,2024-03-16 23:18:01.309292,16.21,1,0.0,0.0,completed
160,6470,2024-03-17 13:58:01.424837,388.11,2,0.0,0.0,completed
161,24824,2024-03-17 22:28:50.411317,914.34,5,4.99,182.87,completed
162,5826,2024-03-18 04:53:51.147114,856.14,4,4.99,128.42,cancelled
163,1933,2024-03-18 18:50:24.193780,374.68,3,0.0,74.94,completed
164,1268,2024-03-19 15:31:24.723194,271.63,1,4.99,0.0,returned
165,7453,2024-03-19 16:35:04.909667,495.64,2,0.0,0.0,cancelled
166,17486,2024-03-20 02:39:36.808351,379.02,2,4.99,75.8,completed
167,8247,2024-03-20 13:26:37.947177,64.65,1,0.0,0.0,completed
168,21755,2024-03-21 02:35:27.184387,939.9,5,9.99,93.99,shipped
169,10111,2024-03-21 13:52:05.082797,361.64,5,4.99,0.0,completed
170,4295,2024-03-21 21:25:28.101318,926.9,5,9.99,185.38,completed
171,3584,2024-03-24 15:27:20.182985,737.73,3,9.99,73.77,completed
172,11768,2024-03-25 02:02:55.519858,377.26,2,4.99,0.0,completed
173,11949,2024-03-26 04:40:52.566371,509.3,4,9.99,101.86,completed
174,12997,2024-03-26 14:51:48.666997,252.03,1,0.0,37.8,completed
175,20021,2024-03-26 22:26:10.690036,422.51,2,0.0,42.25,completed
176,6890,2024-03-27 17:24:54.478868,1033.42,5,0.0,155.01,completed
177,4259,2024-03-30 00:30:47.501365,349.06,2,4.99,34.91,completed
178,20894,2024-03-30 18:24:18.524422,912.79,5,9.99,91.28,completed
179,3131,2024-03-30 20:13:00.525548,462.89,2,0.0,0.0,cancelled
180,584,2024-03-31 02:03:21.326512,537.4,4,9.99,53.74,shipped
181,23169,2024-03-31 07:51:09.094154,56.3,1,4.99,0.0,completed
182,22880,2024-03-31 21:48:06.238642,440.61,2,4.99,0.0,shipped
183,8353,2024-04-01 18:14:11.614480,534.89,5,4.99,0.0,completed
184,1376,2024-04-02 03:52:48.239014,793.56,5,9.99,0.0,cancelled
185,12448,2024-04-02 12:53:29.784723,715.91,4,0.0,0.0,completed
186,16199,2024-04-02 21:01:41.409728,853.56,4,9.99,0.0,returned
187,15126,2024-04-02 23:59:49.045708,1136.27,5,0.0,113.63,completed
188,24783,2024-04-04 10:22:45.400120,509.43,3,9.99,50.94,completed
189,7458,2024-04-04 10:43:38.537785,27.09,1,4.99,0.0,completed
190,421,2024-04-04 19:57:59.363213,440.38,3,0.0,0.0,completed
191,6876,2024-04-06 15:20:09.501682,243.66,1,0.0,0.0,cancelled
192,2871,2024-04-06 17:22:25.251467,733.09,4,4.99,0.0,completed
193,8231,2024-04-06 18:56:41.595775,80.92,1,4.99,0.0,shipped
194,6779,2024-04-07 02:56:25.169257,372.29,2,9.99,0.0,returned
195,21039,2024-04-08 17:15:19.291513,829.64,5,9.99,82.96,returned
196,23287,2024-04-08 19:30:59.174507,192.65,2,4.99,28.9,completed
197,24783,2024-04-10 02:31:37.569650,823.35,5,0.0,123.5,shipped
198,12615,2024-04-10 16:58:33.617923,289.93,1,0.0,0.0,completed
199,22441,2024-04-11 13:04:53.163897,948.29,5,4.99,189.66,completed
200,12753,2024-04-11 21:54:10.913265,585.16,4,9.99,0.0,shipped
201,9791,2024-04-12 12:47:16.742992,600.86,5,9.99,60.09,shipped
202,411,2024-04-12 16:45:11.615292,128.02,2,4.99,25.6,completed
203,1504,2024-04-12 18:46:52.422497,1096.06,5,4.99,0.0,completed
204,9367,2024-04-14 20:30:26.424932,388.44,2,0.0,0.0,completed
205,21521,2024-04-14 21:35:34.508523,459.04,2,9.99,68.86,completed
206,7699,2024-04-15 07:24:06.475311,749.4,5,4.99,0.0,cancelled
207,5174,2024-04-15 12:13:05.930644,732.07,4,4.99,109.81,cancelled
208,3692,2024-04-15 13:20:16.515002,806.98,4,4.99,0.0,completed
209,15872,2024-04-16 00:44:08.605662,697.33,3,9.99,0.0,shipped
210,21978,2024-04-16 08:02:27.613352,928.59,5,4.99,0.0,shipped
211,11716,2024-04-16 08:41:11.705668,658.77,3,4.99,98.82,cancelled
212,18721,2024-04-16 12:14:15.012492,668.06,4,4.99,0.0,completed
213,5524,2024-04-16 14:15:40.964890,124.56,1,9.99,24.91,completed
214,9162,2024-04-17 19:04:32.438380,318.38,1,4.99,0.0,completed
215,17796,2024-04-18 14:25:02.470977,382.99,3,9.99,76.6,completed
216,8263,2024-04-20 02:26:02.024284,413.03,3,0.0,82.61,cancelled
217,1216,2024-04-20 12:41:47.213372,827.94,4,4.99,82.79,completed
218,11253,2024-04-21 03:00:42.870918,647.51,3,9.99,64.75,completed
219,13041,2024-04-21 15:13:10.847801,648.39,3,9.99,129.68,completed
220,22107,2024-04-22 10:35:27.745161,226.16,2,0.0,0.0,shipped
221,7594,2024-04-22 12:40:33.052068,649.69,5,0.0,129.94,completed
222,12116,2024-04-22 20:41:09.257505,228.8,1,4.99,0.0,completed
223,16430,2024-04-24 16:26:45.554329,526.85,3,0.0,0.0,completed
224,24902,2024-04-25 07:06:55.881158,424.14,3,0.0,0.0,completed
225,8785,2024-04-25 10:12:38.101015,513.17,2,4.99,102.63,completed
226,317,2024-04-25 14:42:24.636663,793.06,4,0.0,0.0,completed
227,12357,2024-04-25 20:46:30.029015,471.96,4,0.0,0.0,completed
228,1215,2024-04-25 23:19:29.555886,242.08,3,4.99,0.0,completed
229,24047,2024-04-26 20:18:15.759927,1267.61,5,9.99,0.0,completed
230,22246,2024-04-29 20:07:58.139454,835.76,4,0.0,167.15,cancelled
231,10121,2024-04-30 20:42:13.437067,286.34,3,4.99,42.95,completed
232,20894,2024-04-30 23:48:19.257439,1573.84,5,9.99,314.77,completed
233,6304,2024-05-01 06:54:39.184360,293.5,2,0.0,0.0,completed
234,8809,2024-05-02 02:15:53.992663,346.51,2,0.0,0.0,cancelled
235,13530,2024-05-02 22:14:03.597973,1051.12,4,0.0,0.0,completed
236,4575,2024-05-03 08:45:46.194801,237.07,2,0.0,0.0,shipped
237,10756,2024-05-03 22:45:59.646674,792.12,5,0.0,0.0,completed
238,9605,2024-05-04 07:45:14.031115,716.3,3,9.99,0.0,completed
239,7089,2024-05-04 07:45:39.075532,269.16,2,9.99,53.83,shipped
240,10045,2024-05-05 17:47:58.551018,499.94,5,0.0,0.0,cancelled
241,4342,2024-05-05 21:16:26.749686,430.37,3,9.99,64.56,cancelled
242,18924,2024-05-06 11:04:16.329352,441.85,3,4.99,0.0,completed
243,8636,2024-05-06 18:53:57.771047,1243.34,5,4.99,124.33,completed
244,23609,2024-05-08 14:52:30.797004,480.67,2,9.99,0.0,completed
245,13011,2024-05-09 10:26:36.189462,497.88,4,0.0,74.68,completed
246,15112,2024-05-09 23:31:41.986515,1047.5,5,0.0,0.0,cancelled
247,5756,2024-05-11 02:41:33.619162,698.45,3,4.99,0.0,completed
248,8541,2024-05-11 15:42:20.947359,135.14,1,4.99,0.0,cancelled
249,7257,2024-05-11 18:27:03.315043,953.15,4,9.99,190.63,completed
250,18514,2024-05-12 00:52:28.134141,686.98,3,0.0,0.0,completed
251,22116,2024-05-13 05:59:42.070112,474.29,3,9.99,0.0,completed
252,3088,2024-05-13 15:49:57.184287,828.58,5,9.99,165.72,completed
253,4493,2024-05-13 18:47:43.132745,275.62,2,0.0,0.0,shipped
254,799,2024-05-14 01:53:34.235457,740.84,3,9.99,0.0,shipped
255,9928,2024-05-16 05:27:40.836283,18.12,1,0.0,3.62,completed
256,14431,2024-05-16 07:51:48.185979,879.99,4,9.99,0.0,completed
257,17688,2024-05-16 20:53:03.695190,344.36,1,9.99,51.65,completed
258,15076,2024-05-16 23:42:22.014303,563.32,2,9.99,0.0,completed
259,17788,2024-05-17 22:36:49.132908,966.05,5,9.99,144.91,cancelled
260,9036,2024-05-18 04:14:13.806349,944.76,4,9.99,94.48,completed
261,16820,2024-05-18 06:38:00.170264,308.62,1,4.99,30.86,completed
262,3539,2024-05-18 12:47:32.142562,873.09,5,4.99,0.0,completed
263,23448,2024-05-18 18:35:17.697064,203.71,3,9.99,30.56,completed
264,6925,2024-05-19 05:33:28.610853,1145.01,5,4.99,0.0,completed
265,30,2024-05-19 21:14:21.583075,205.12,1,0.0,0.0,cancelled
266,10216,2024-05-21 08:14:29.833016,996.69,5,0.0,199.34,completed
267,15687,2024-05-21 08:27:12.430086,92.48,1,0.0,0.0,shipped
268,2963,2024-05-22 06:04:23.267687,843.13,4,4.99,168.63,cancelled
269,13365,2024-05-22 08:45:23.388301,552.05,2,4.99,110.41,completed
270,12668,2024-05-22 13:22:48.916913,67.44,1,9.99,6.74,completed
271,3468,2024-05-23 14:46:20.971529,1149.41,5,4.99,0.0,cancelled
272,21288,2024-05-23 20:03:54.642001,492.2,4,9.99,73.83,completed
273,17457,2024-05-23 20:18:00.825456,249.31,1,0.0,37.4,cancelled
274,9972,2024-05-25 16:09:54.184959,228.79,1,9.99,45.76,completed
275,19273,2024-05-25 22:34:54.421431,678.34,4,0.0,0.0,completed
276,348,2024-05-25 23:10:31.005924,1187.77,5,9.99,178.17,completed
277,6472,2024-05-27 15:51:17.886344,818.41,4,4.99,163.68,completed
278,8988,2024-05-28 15:49:12.147088,1059.12,5,4.99,211.82,cancelled
279,12826,2024-05-30 06:21:41.660489,840.29,5,4.99,168.06,shipped
280,17796,2024-05-30 11:54:25.218244,261.27,1,4.99,0.0,completed
281,14764,2024-05-31 02:43:00.770900,452.84,2,4.99,0.0,completed
282,8210,2024-05-31 16:21:02.463913,233.32,3,4.99,0.0,cancelled
283,7594,2024-06-01 00:30:08.296608,1019.7,5,4.99,0.0,completed
284,18864,2024-06-02 21:37:51.469459,737.73,5,0.0,0.0,completed
285,23079,2024-06-03 05:24:43.969873,23.3,1,9.99,0.0,shipped
286,12997,2024-06-03 12:44:07.704495,659.73,5,4.99,131.95,completed
287,2066,2024-06-03 13:05:02.041823,239.61,1,4.99,0.0,shipped
288,6776,2024-06-04 06:48:50.732567,553.81,3,0.0,0.0,completed
289,3380,2024-06-04 08:19:56.541108,199.27,1,0.0,29.89,completed
290,5545,2024-06-05 01:00:57.357829,778.0,4,4.99,0.0,completed
291,15719,2024-06-05 03:08:19.265914,591.5,4,9.99,0.0,completed
292,24508,2024-06-05 11:17:15.345664,327.34,2,0.0,0.0,shipped
293,19211,2024-06-05 18:28:03.825676,791.99,4,9.99,0.0,completed
294,8994,2024-06-06 01:07:27.793433,136.34,2,9.99,0.0,completed
295,1068,2024-06-07 03:29:35.260361,714.71,4,9.99,0.0,completed
296,14248,2024-06-07 04:12:29.390744,577.8,2,4.99,0.0,completed
297,9939,2024-06-07 06:21:21.633364,781.66,3,9.99,117.25,shipped
298,2567,2024-06-07 20:58:18.861193,1169.73,5,9.99,116.97,returned
299,5698,2024-06-08 00:05:36.260679,793.08,5,9.99,0.0,completed
300,5169,2024-06-08 02:50:58.816015,590.5,4,0.0,59.05,returned
301,5120,2024-06-08 20:42:26.694515,1432.7,5,9.99,0.0,completed
302,16252,2024-06-09 10:59:38.049130,483.07,2,9.99,0.0,cancelled
303,23056,2024-06-09 19:33:28.910726,247.61,2,4.99,0.0,completed
304,9772,2024-06-09 23:32:58.259351,250.91,2,9.99,37.64,completed
305,2191,2024-06-10 03:10:52.168897,387.14,4,0.0,0.0,completed
306,16095,2024-06-10 12:12:17.529522,407.91,3,0.0,81.58,completed
307,6782,2024-06-10 19:47:06.135348,1425.37,5,9.99,0.0,completed
308,17752,2024-06-11 07:25:23.497500,244.5,2,4.99,24.45,cancelled
309,16611,2024-06-11 20:22:33.758845,543.3,2,0.0,54.33,completed
310,14524,2024-06-12 14:07:18.816997,115.05,1,9.99,0.0,completed
311,9471,2024-06-13 07:35:53.309181,733.72,4,0.0,0.0,shipped
312,18882,2024-06-13 13:43:27.424365,635.47,5,0.0,0.0,shipped
313,18875,2024-06-13 16:43:33.682400,828.49,4,0.0,124.27,shipped
314,468,2024-06-13 23:32:05.713839,708.5,3,9.99,0.0,completed
315,21026,2024-06-14 19:55:59.972527,655.33,4,0.0,65.53,completed
316,11369,2024-06-14 22:43:56.901061,737.69,3,0.0,73.77,shipped
317,8956,2024-06-16 07:11:56.736998,334.62,1,0.0,33.46,completed
318,21102,2024-06-17 01:40:09.994834,1184.57,4,9.99,0.0,completed
319,8084,2024-06-17 02:02:40.911972,52.0,1,0.0,0.0,completed
320,4079,2024-06-17 09:39:25.289536,262.95,1,0.0,0.0,shipped
321,6521,2024-06-17 23:32:59.421552,355.74,2,9.99,35.57,completed
322,24429,2024-06-18 22:15:10.453475,765.19,4,0.0,114.78,completed
323,14767,2024-06-18 23:09:13.163181,706.46,3,0.0,0.0,completed
324,6784,2024-06-18 23:29:23.256167,1020.87,5,4.99,0.0,completed
325,1451,2024-06-19 03:00:53.680146,228.96,2,4.99,22.9,completed
326,14174,2024-06-19 05:47:18.492869,1079.41,5,9.99,215.88,completed
327,13122,2024-06-19 18:07:23.078891,739.82,4,0.0,0.0,completed
328,3104,2024-06-20 20:35:52.719936,169.73,2,9.99,0.0,completed
329,5207,2024-06-21 03:17:17.692837,657.25,5,4.99,131.45,completed
330,17788,2024-06-21 04:55:53.574260,639.79,4,9.99,0.0,completed
331,2983,2024-06-21 11:04:27.746077,1085.0,4,0.0,217.0,completed
332,7463,2024-06-21 18:36:31.086466,660.89,3,9.99,66.09,cancelled
333,13366,2024-06-21 20:30:35.821610,433.45,2,9.99,65.02,completed
334,5869,2024-06-22 12:53:47.617778,292.75,1,4.99,0.0,completed
335,5139,2024-06-23 07:47:06.507481,56.55,1,0.0,11.31,returned
336,9748,2024-06-23 23:41:07.584131,382.67,3,4.99,57.4,completed
337,4398,2024-06-24 00:11:40.897957,340.49,1,4.99,0.0,completed
338,4060,2024-06-24 10:59:00.757171,267.37,1,0.0,40.11,cancelled
339,13796,2024-06-25 02:38:17.615314,1032.21,4,9.99,0.0,completed
340,16559,2024-06-25 11:44:22.212752,952.04,4,4.99,0.0,completed
341,2814,2024-06-25 12:19:31.830154,188.04,2,9.99,37.61,cancelled
342,3972,2024-06-26 17:16:50.723832,312.22,2,9.99,0.0,completed
343,8377,2024-06-27 04:34:51.015838,377.05,2,9.99,0.0,completed
344,16830,2024-06-27 05:03:02.938476,654.23,4,9.99,65.42,completed
345,3790,2024-06-27 07:57:19.273726,745.7,3,4.99,0.0,completed
346,10728,2024-06-27 15:26:12.683989,511.2,2,0.0,0.0,completed
347,21204,2024-06-28 10:53:21.316005,32.36,1,9.99,4.85,completed
348,7398,2024-06-28 11:28:28.119215,277.4,2,4.99,41.61,completed
349,8741,2024-06-29 10:05:37.472275,480.01,4,4.99,96.0,cancelled
350,13262,2024-06-29 21:10:00.220085,593.8,2,4.99,59.38,cancelled
351,1630,2024-07-01 17:39:59.960957,312.63,1,0.0,31.26,completed
352,16698,2024-07-02 04:51:02.620339,215.27,1,9.99,0.0,completed
353,17928,2024-07-02 16:44:37.190436,335.72,1,9.99,33.57,cancelled
354,24512,2024-07-03 16:47:06.520564,861.85,4,9.99,0.0,completed
355,798,2024-07-04 05:37:45.529374,1249.05,5,9.99,0.0,cancelled
356,20894,2024-07-04 20:52:50.809552,865.4,4,0.0,86.54,returned
357,838,2024-07-05 20:10:22.367633,787.49,5,4.99,78.75,completed
358,15205,2024-07-06 18:58:41.241488,234.14,3,9.99,46.83,shipped
359,20226,2024-07-07 03:00:29.300274,997.63,4,9.99,199.53,completed
360,23188,2024-07-07 06:49:16.897248,481.26,2,0.0,0.0,completed
361,20040,2024-07-08 06:17:37.865774,314.16,1,4.99,0.0,completed
362,5174,2024-07-08 06:35:43.199098,837.84,4,4.99,167.57,cancelled
